PDB,IRMSD_AF2,IRMSD_AlphaRED,fnat_AF2,fnat_AlphaRED,CAPRI_AF2,CAPRI_AlphaRED,Flexibility,is_ab
1ZM4,2.59,2.56,0.63,0.68,1,1,Medium,False
2CFH,3.09,2.89,0.75,0.63,0,1,Medium,False
2DD8,13.56,1.7,0.0,0.78,0,2,Medium,True
2H7V,2.26,2.55,0.68,0.73,1,1,Medium,False
2HRK,0.99,0.96,0.94,0.91,3,3,Medium,False
2NZ8,1.14,1.02,0.86,0.92,2,2,Medium,False
2OZA,13.24,8.2,0.0,0.17,0,0,Medium,False
2Z0E,1.25,1.37,0.93,0.93,2,2,Medium,False
3AAA,1.33,1.32,0.77,0.94,2,2,Medium,False
3AAD,22.37,15.42,0.0,0.0,0,0,Medium,False
3BX7,2.11,2.08,0.63,0.65,1,1,Medium,False
3CPH,5.63,4.09,0.14,0.21,0,0,Medium,False
3DAW,1.31,1.26,0.84,0.84,2,2,Medium,False
3EO1,21.58,3.63,0.0,0.33,0,1,Medium,True
3G6D,15.14,13.94,0.0,0.0,0,0,Medium,True
3HI6,4.89,4.52,0.17,0.26,0,0,Medium,True
3L5W,14.9,11.63,0.0,0.0,0,0,Medium,True
3R9A,19.05,4.63,0.0,0.18,0,0,Medium,False
3RJQ,9.77,4.75,0.0,0.21,0,0,Medium,True
3S9D,1.73,1.36,0.42,0.79,2,2,Medium,False
3SZK,14.92,7.4,0.0,0.0,0,0,Medium,False
3V6Z,17.17,6.25,0.0,0.06,0,0,Medium,True
4ETQ,20.17,5.91,0.0,0.15,0,0,Medium,True
4FZA,2.36,2.08,0.8,0.85,1,1,Medium,False
4IZ7,1.88,1.94,0.72,0.75,2,2,Medium,False
4JCV,20.06,11.8,0.0,0.02,0,0,Medium,False
4LW4,3.03,3.63,0.67,0.33,1,1,Medium,False
4M3K,16.13,2.06,0.0,0.46,0,1,Medium,True
4POU,13.79,2.43,0.0,0.51,0,1,Medium,True
5CBA,2.43,2.42,0.82,0.82,1,1,Medium,True
5E5M,5.26,3.15,0.04,0.4,0,1,Medium,True
5HGG,4.85,3.38,0.25,0.21,0,1,Medium,True
5HYS,16.42,9.16,0.0,0.0,0,0,Medium,True
5KOV,16.97,7.21,0.0,0.19,0,0,Medium,True
5VNW,29.75,2.58,0.0,0.42,0,0,Medium,True
5WHK,2.66,2.55,0.57,0.67,0,1,Medium,True
6A0Z,13.99,4.87,0.1,0.18,0,0,Medium,True
6AL0,3.09,2.78,0.44,0.52,0,1,Medium,True
6EY6,14.81,12.61,0.14,0.15,0,0,Medium,True
1A2K,24.77,5.79,0.0,0.14,0,0,Rigid,False
1AHW,1.93,1.41,0.54,0.79,2,2,Rigid,True
1AK4,7.37,7.37,0.17,0.23,0,0,Rigid,False
1AKJ,1.65,1.78,0.75,0.72,2,2,Rigid,False
1AVX,1.42,1.65,0.94,0.92,2,2,Rigid,False
1AY7,0.78,0.77,0.91,0.91,3,3,Rigid,False
1AZS,2.9,2.8,0.66,0.66,1,1,Rigid,False
1BUH,1.38,1.3,0.77,0.74,2,2,Rigid,False
1BVN,1.44,1.13,0.65,0.86,2,2,Rigid,False
1CLV,8.57,4.95,0.07,0.2,0,0,Rigid,False
1D6R,1.07,1.09,0.9,0.84,2,2,Rigid,False
1DFJ,1.45,1.57,0.77,0.83,2,2,Rigid,False
1DQJ,7.43,5.15,0.03,0.15,0,0,Rigid,True
1E6E,1.97,1.89,0.85,0.8,2,2,Rigid,False
1E6J,14.57,12.09,0.0,0.03,0,0,Rigid,True
1E96,1.49,1.23,0.86,0.92,2,2,Rigid,False
1EAW,1.11,1.19,0.78,0.81,2,2,Rigid,False
1EFN,15.08,3.34,0.0,0.33,0,1,Rigid,False
1EWY,5.7,4.6,0.06,0.11,0,0,Rigid,False
1EXB,23.79,19.64,0.0,0.05,0,0,Rigid,False
1EZU,25.5,12.81,0.0,0.01,0,0,Rigid,False
1F34,1.94,1.94,0.73,0.71,2,2,Rigid,False
1F51,19.73,19.91,0.0,0.0,0,0,Rigid,False
1FCC,27.07,1.76,0.0,0.74,0,2,Rigid,False
1FFW,1.41,1.28,0.86,0.96,2,2,Rigid,False
1FLE,1.52,1.46,0.81,0.91,2,2,Rigid,False
1FQJ,2.2,2.3,0.74,0.76,1,1,Rigid,False
1GCQ,14.19,4.55,0.0,0.15,0,0,Rigid,False
1GHQ,13.1,12.54,0.0,0.0,0,0,Rigid,False
1GL1,0.8,0.94,0.9,0.87,3,3,Rigid,False
1GLA,4.12,3.1,0.22,0.3,0,1,Rigid,False
1GPW,1.45,1.38,0.89,0.87,2,2,Rigid,False
1GXD,25.92,3.05,0.0,0.51,0,1,Rigid,False
1H9D,1.57,1.46,0.84,0.89,2,2,Rigid,False
1HCF,14.46,14.56,0.0,0.0,0,0,Rigid,False
1HE1,1.8,1.73,0.78,0.82,2,2,Rigid,False
1HIA,1.19,1.23,0.87,0.95,2,2,Rigid,False
1I4D,20.11,6.39,0.0,0.16,0,0,Rigid,False
1J2J,1.21,1.18,0.88,0.92,2,2,Rigid,False
1JPS,16.85,11.19,0.02,0.04,0,0,Rigid,True
1JTD,1.15,0.94,0.75,0.83,2,3,Rigid,False
1JTG,2.59,2.1,0.6,0.6,1,1,Rigid,False
1JWH,1.78,1.63,0.86,0.83,2,2,Rigid,False
1K74,1.75,1.78,0.87,0.87,2,2,Rigid,False
1KAC,18.09,3.05,0.0,0.34,0,1,Rigid,False
1KLU,13.54,3.04,0.0,0.56,0,1,Rigid,False
1KTZ,1.06,1.06,0.89,0.93,2,2,Rigid,False
1KXP,1.17,1.17,0.85,0.83,2,2,Rigid,False
1M27,8.25,1.9,0.15,0.9,0,2,Rigid,False
1MAH,1.42,1.42,0.78,0.79,2,2,Rigid,False
1ML0,19.64,17.41,0.0,0.02,0,0,Rigid,False
1MLC,10.89,3.99,0.0,0.15,0,1,Rigid,True
1OC0,1.11,1.31,0.94,0.85,2,2,Rigid,False
1OFU,1.34,1.28,0.94,0.94,2,2,Rigid,False
1OPH,2.11,1.48,0.82,0.86,1,2,Rigid,False
1OYV,8.29,6.34,0.68,0.78,0,0,Rigid,False
1PPE,2.0,1.88,0.82,0.82,2,2,Rigid,False
1PVH,18.12,2.88,0.0,0.35,0,1,Rigid,False
1QA9,1.76,1.63,0.64,0.77,2,2,Rigid,False
1R0R,0.86,0.89,0.91,0.93,3,3,Rigid,False
1RLB,19.55,19.32,0.0,0.0,0,0,Rigid,False
1RV6,23.47,22.98,0.0,0.0,0,0,Rigid,False
1S1Q,14.25,2.42,0.0,0.49,0,1,Rigid,False
1S78,27.14,10.5,0.0,0.06,0,0,Rigid,True
1SBB,25.69,3.49,0.0,0.41,0,1,Rigid,False
1T6B,12.23,7.85,0.02,0.2,0,0,Rigid,False
1TMQ,12.66,12.73,0.05,0.08,0,0,Rigid,False
1UDI,1.23,1.16,0.77,0.92,2,2,Rigid,False
1US7,0.76,0.76,0.93,0.94,0,3,Rigid,False
1VFB,13.92,2.07,0.0,0.61,0,1,Rigid,True
1WDW,35.72,35.36,0.0,0.0,0,0,Rigid,False
1WEJ,16.95,9.41,0.0,0.07,0,0,Rigid,True
1XD3,1.72,1.71,0.94,0.89,2,2,Rigid,False
1XU1,13.59,13.07,0.0,0.0,0,0,Rigid,False
1YVB,1.14,1.12,0.83,0.87,2,2,Rigid,False
1Z0K,1.75,1.53,0.65,0.81,2,2,Rigid,False
1Z5Y,2.12,2.12,0.81,0.86,1,1,Rigid,False
1ZHH,16.31,16.53,0.0,0.0,0,0,Rigid,False
1ZHI,1.06,1.22,0.94,0.91,2,2,Rigid,False
2A1A,1.88,1.95,0.84,0.75,2,2,Rigid,False
2A5T,1.48,1.42,0.83,0.85,2,2,Rigid,False
2A9K,16.93,4.29,0.0,0.31,0,0,Rigid,False
2ABZ,8.93,6.97,0.08,0.1,0,0,Rigid,False
2AJF,16.7,5.0,0.0,0.22,0,0,Rigid,False
2AYO,2.1,2.11,0.68,0.57,1,1,Rigid,False
2B42,1.22,1.21,0.82,0.87,2,2,Rigid,False
2B4J,18.53,3.72,0.0,0.26,0,1,Rigid,False
2BTF,1.15,1.11,0.82,0.85,2,2,Rigid,False
2FD6,16.35,12.52,0.0,0.03,0,0,Rigid,True
2FJU,31.69,2.15,0.0,0.59,0,1,Rigid,False
2G77,1.87,2.16,0.75,0.52,2,1,Rigid,False
2GAF,2.45,2.94,0.53,0.44,1,1,Rigid,False
2GTP,1.0,0.96,0.79,0.9,3,3,Rigid,False
2HLE,2.18,1.92,0.64,0.79,1,2,Rigid,False
2HQS,2.49,2.38,0.56,0.6,1,1,Rigid,False
2I25,7.45,2.7,0.11,0.36,0,1,Rigid,True
2J0T,1.15,1.16,0.95,0.95,2,2,Rigid,False
2MTA,22.03,20.25,0.0,0.0,0,0,Rigid,False
2O8V,7.93,7.29,0.2,0.47,0,1,Rigid,False
2OOB,9.07,2.22,0.0,0.55,0,1,Rigid,False
2OOR,19.99,19.61,0.0,0.0,0,0,Rigid,False
2OUL,0.86,0.85,0.94,0.93,3,3,Rigid,False
2PCC,1.28,1.47,0.9,0.85,2,2,Rigid,False
2SIC,0.94,0.89,0.88,0.91,3,3,Rigid,False
2SNI,1.03,0.99,0.84,0.89,2,3,Rigid,False
2UUY,1.01,0.96,0.9,0.94,3,3,Rigid,False
2VDB,0.94,0.86,0.83,0.89,2,2,Rigid,False
2VIS,12.94,7.07,0.0,0.02,0,0,Rigid,True
2VXT,2.2,2.14,0.82,0.86,1,1,Rigid,True
2W9E,13.91,2.27,0.0,0.62,0,1,Rigid,True
2X9A,0.98,0.94,0.89,0.89,3,3,Rigid,False
2YVJ,3.74,1.65,0.1,0.45,1,2,Rigid,False
3A4S,1.64,1.68,0.85,0.9,2,2,Rigid,False
3BIW,11.77,10.32,0.1,0.1,0,0,Rigid,False
3BP8,32.31,4.38,0.0,0.44,0,0,Rigid,False
3D5S,1.85,1.67,0.73,0.76,2,2,Rigid,False
3EOA,17.43,11.54,0.0,0.09,0,0,Rigid,True
3H2V,6.98,2.07,0.0,0.63,0,1,Rigid,False
3HMX,19.54,11.61,0.0,0.03,0,0,Rigid,True
3K75,1.2,1.12,0.89,0.92,2,2,Rigid,False
3LVK,2.26,1.76,0.55,0.73,1,2,Rigid,False
3MJ9,8.22,5.11,0.02,0.13,0,0,Rigid,True
3MXW,12.45,11.22,0.0,0.0,0,0,Rigid,True
3P57,12.61,1.85,0.0,0.96,0,2,Rigid,False
3PC8,1.41,1.32,1.0,1.0,2,2,Rigid,False
3RVW,11.04,5.64,0.0,0.14,0,0,Rigid,True
3SE8,2.58,2.61,0.62,0.62,1,1,Rigid,True
3SGQ,1.56,1.54,0.83,0.83,2,2,Rigid,False
3U7Y,2.17,2.07,0.86,0.89,1,1,Rigid,True
3VLB,1.13,0.98,0.87,0.9,2,3,Rigid,False
3WD5,11.37,11.59,0.0,0.0,0,0,Rigid,True
4CPA,2.07,1.96,0.56,0.69,1,2,Rigid,False
4DN4,12.22,12.14,0.0,0.0,0,0,Rigid,True
4FP8,15.8,5.92,0.0,0.17,0,0,Rigid,True
4FQI,18.79,18.38,0.0,0.0,0,0,Rigid,True
4G6J,11.68,3.36,0.0,0.25,0,1,Rigid,True
4G6M,7.13,3.01,0.03,0.27,0,1,Rigid,True
4GXU,18.48,18.34,0.0,0.0,0,0,Rigid,True
4H03,2.13,2.01,0.43,0.64,1,1,Rigid,False
4HX3,15.67,15.51,0.0,0.0,0,0,Rigid,False
4M5Z,1.16,1.4,0.88,0.84,2,2,Rigid,True
4M76,19.94,4.24,0.0,0.15,0,0,Rigid,False
4Y7M,4.94,3.8,0.24,0.34,0,1,Rigid,True
5GRJ,13.59,3.6,0.04,0.35,0,1,Rigid,True
5JMO,15.48,5.05,0.0,0.14,0,0,Rigid,True
5O14,18.13,3.8,0.0,0.17,0,1,Rigid,True
5O1R,1.24,1.18,0.86,0.9,2,2,Rigid,True
5SV3,1.29,1.26,0.89,0.92,2,2,Rigid,True
5WK3,14.82,8.13,0.0,0.04,0,0,Rigid,True
5WUX,11.25,4.51,0.0,0.31,0,0,Rigid,True
5X0T,1.27,1.32,0.94,0.89,2,2,Rigid,True
5Y9J,7.09,2.76,0.07,0.42,0,1,Rigid,True
6A77,1.99,1.9,0.61,0.66,2,2,Rigid,True
6B0S,1.65,1.55,0.8,0.84,2,2,Rigid,True
6BPC,4.08,3.67,0.09,0.14,0,1,Rigid,True
6CWG,2.98,1.74,0.5,0.73,1,2,Rigid,True
6DBG,9.28,2.9,0.0,0.32,0,1,Rigid,True
6OC3,13.41,4.32,0.04,0.17,0,0,Rigid,True
7CEI,1.26,1.33,0.85,0.93,2,2,Rigid,False
